variant_id,entity_id,canonical_key,variant_name,variant_language,is_preferred,source_refs_sample
VAR_5DF39B633B,ENT_F5E515520A,abu saifi,Abu Saifi,en,yes,SRC002 p.103 line 10
VAR_376E80BB7D,ENT_5FACBC2357,abu talib,Abu Talib,en,no,SRC001 p.26 line 32; SRC002 p.103 line 17; SRC002 p.104 line 10; SRC002 p.104 line 12; SRC002 p.104 line 14; SRC002 p.104 line 15; SRC002 p.104 line 5; SRC002 p.104 line 8
VAR_BBE8874C56,ENT_5FACBC2357,abu talib,Hazrat Abu Talib,en,yes,SRC001 p.26 line 32; SRC002 p.103 line 17; SRC002 p.104 line 10; SRC002 p.104 line 12; SRC002 p.104 line 14; SRC002 p.104 line 15; SRC002 p.104 line 5; SRC002 p.104 line 8
VAR_F20874663F,ENT_CE968E6A4A,abu yusuf ahmed baghdadi,Syed Abu Yusuf Ahmed Baghdadi,en,yes,SRC002 p.108 line 17; SRC002 p.108 line 20; SRC002 p.108 line 22; SRC002 p.108 line 24; SRC002 p.108 line 26; SRC002 p.108 line 28; SRC002 p.108 line 30; SRC002 p.108 line 31
VAR_E7F74721C3,ENT_7ECC9DBF76,abu yusuf ahmed baghdadi bin abdullah idrees,Syed Abu Yusuf Ahmed Baghdadi bin Syed Abdullah Idrees,en,yes,SRC002 p.108 line 17
VAR_1F479E3719,ENT_3B53747F15,abu yusuf ahmed baghdadi naqvi,Syed Abu Yusuf Ahmed Baghdadi Naqvi,en,yes,SRC002 p.107 line 55
VAR_09E2DA76FC,ENT_05350D9FF6,abul alhasan naqvi,Syed Abul Alhasan Naqvi,en,yes,SRC002 p.108 line 8
VAR_6D0CDBC515,ENT_6151F84957,abul hasan ali asghar,Syed Abul Hasan Ali Asghar,en,yes,SRC002 p.107 line 32; SRC002 p.107 line 35; SRC002 p.107 line 37; SRC002 p.107 line 39; SRC002 p.107 line 41; SRC002 p.107 line 43; SRC002 p.107 line 45; SRC002 p.107 line 47
VAR_F83FD04954,ENT_4C3B16D69F,abul hasan ali asghar bin jafar sani bin imam ali,Syed Abul Hasan Ali Asghar bin Syed Jafar Sani bin Imam Ali,en,yes,SRC002 p.107 line 32
VAR_ED015DECDF,ENT_0FB8005D59,ad qureshi,As‘ad Qureshi,en,yes,SRC002 p.101 line 55
VAR_8CDFDD3E5A,ENT_0E18F44C1F,adam,Adam,en,yes,SRC002 p.99 line 3; SRC002 p.99 line 4
VAR_40211395CD,ENT_B3E8FF7AC1,adi,Adi,en,yes,SRC002 p.102 line 29
VAR_A062963E1F,ENT_CD29DE32D4,adnan,Adnan,en,yes,SRC002 p.100 line 23; SRC002 p.100 line 24; SRC002 p.100 line 27; SRC002 p.100 line 29; SRC002 p.100 line 30
VAR_836592F6FE,ENT_9AE74F0ED6,adnan shakir ali,Syed Adnan Shakir Ali,en,yes,SRC002 p.113 line 60; SRC002 p.114 line 52; SRC002 p.114 line 54; SRC002 p.44 line 30; SRC002 p.91 line 20
VAR_F0493CD9D5,ENT_FB05778621,adnan shakir ali naqvi,Syed Adnan Shakir Ali Naqvi,en,yes,SRC002 p.114 line 49
VAR_5FCFE7425E,ENT_90F33BCF2F,adnan shakir ali naqvi bin naseer ali bin,Syed Adnan Shakir Ali Naqvi bin Syed Naseer Ali bin Syed,en,yes,SRC002 p.114 line 49
VAR_9411622A03,ENT_A53A33601B,ahmad,Syed Ahmad,en,yes,SRC002 p.107 line 14
VAR_AD215CCA76,ENT_29E1B9438B,ahmad bukhari,Syed Ahmad Bukhari,en,yes,SRC002 p.83 line 31
VAR_61814C1F5D,ENT_38DDD436DF,ahmad shah,Syed Ahmad Shah,en,yes,SRC001 p.26 line 20; SRC002 p.94 line 19
VAR_F9504F93A7,ENT_1698C2BEA6,ahmed,Syed Ahmed,en,yes,SRC002 p.110 line 9
VAR_AD43F020F4,ENT_A1CD8396D2,ahmed ali,Syed Ahmed Ali,en,yes,SRC002 p.113 line 22
VAR_EF75DFDB10,ENT_400C0DDE01,ahmed badewani,Syed Ahmed Badewani,en,yes,SRC002 p.108 line 42
VAR_742F4FFFD5,ENT_995A486491,ahmed jafri bin shehenshah jafri,Syed Ahmed Jafri bin Syed Shehenshah Jafri,en,yes,SRC001 p.3 line 33
VAR_DA313010AE,ENT_906736DED1,ahmed kabir,Syed Ahmed Kabir,en,yes,SRC002 p.109 line 56; SRC002 p.109 line 59; SRC002 p.109 line 61; SRC002 p.110 line 19; SRC002 p.110 line 4; SRC002 p.110 line 6; SRC002 p.110 line 9
VAR_A3CC4A8C7A,ENT_55ABEC96B3,ahmed kabir bin jalaluddin surkh posh bukhari,Syed Ahmed Kabir bin Syed Jalaluddin Surkh Posh Bukhari,en,yes,SRC002 p.109 line 56
VAR_4F4227CF3D,ENT_315610B8DE,ahmed r,Syed Ahmed R,en,yes,SRC001 p.22 line 13
VAR_EBCA3B0453,ENT_13BE37EC7A,ahmed shah,Syed Ahmed Shah,en,yes,SRC002 p.87 line 31; SRC002 p.87 line 32; SRC002 p.87 lines 6-18
VAR_F69F927AB3,ENT_5AB04334D5,akbar rizvi,Syed Akbar Rizvi,en,yes,SRC002 p.49 line 12; SRC002 p.88 line 28
VAR_BF2278CB9C,ENT_91F3741BAB,akk,Akk,en,yes,SRC002 p.100 line 29
VAR_DA5887F553,ENT_659F7C59FA,al adram,al-Adram,en,yes,SRC002 p.102 line 7
VAR_6A5390AA11,ENT_840E61F42B,al dariya,al-Dariya,en,yes,SRC002 p.99 line 28
VAR_7AD112FB33,ENT_8B5389E4DE,al dariya title hijran al ta an,al-Dariya (title: Hijran al-Ta‘an),en,yes,SRC002 p.99 line 27
VAR_49DA52E9AA,ENT_FA2C04FF34,al harith,al-Harith,en,yes,SRC002 p.102 line 24
VAR_2F5BF3D4FD,ENT_663DEB14EB,al hun,al-Hun,en,yes,SRC002 p.101 line 30
VAR_AA418787CD,ENT_EDC2DF2877,al nadr,al-Nadr,en,yes,SRC002 p.101 line 40; SRC002 p.101 line 42; SRC002 p.101 line 43
VAR_7221AD120A,ENT_91143E9BE8,alauddin ali ibn sa,Syed Alauddin Ali ibn Sa,en,yes,SRC001 p.25 line 9
VAR_07DDB672C7,ENT_7416403476,aleem,Syed Aleem,en,yes,SRC002 p.87 line 9
VAR_F1E736E6B6,ENT_444122D5FB,aleem uddin din,Syed Aleem ud Din,en,yes,SRC002 p.87 line 19; SRC002 p.87 line 20; SRC002 p.87 lines 6-18
VAR_7DD1581A68,ENT_AFF01C22F7,aleemuddin,Syed Aleemuddin,en,yes,SRC002 p.95 line 19
VAR_B1BD42D138,ENT_0F31BEE2A1,ali abbas,Syed Ali Abbas,en,yes,SRC001 p.23 line 11
VAR_C022D5C781,ENT_A13FAB8E79,ali abbas gilani,Pir Syed Ali Abbas Gilani,en,yes,SRC001 p.23 line 13
VAR_921F1F1A55,ENT_4D4D22563C,ali akbar,Syed Ali Akbar,en,yes,SRC002 p.107 line 8
VAR_68DAC40FF1,ENT_B7DA07F0F5,ali al,Syed Ali al,en,yes,
VAR_91BA925B77,ENT_4D251B98A6,ali al akbar a s,Ali al-Akbar A.S,en,yes,SRC002 p.104 line 48
VAR_6CE58C3E6D,ENT_804B41E729,ali al asghar abdullah a s,Ali al-Asghar (Abdullah) A.S,en,yes,SRC002 p.104 line 50
VAR_ACD0CDC5B0,ENT_92649F7C4E,ali al moeed,Syed Ali Al-Moeed,en,yes,SRC002 p.109 line 35
VAR_598E27380C,ENT_6BE05BC1C3,ali al moeed r,Syed Ali Al-Moeed R,en,yes,SRC001 p.22 line 12
VAR_491F37CE00,ENT_58638DA14D,ali al muayyad,Syed Ali al-Muayyad,en,yes,SRC002 p.87 line 27; SRC002 p.87 line 28; SRC002 p.87 lines 6-18
VAR_99E7C54BF2,ENT_DEE793BFB9,ali almoeed,Syed Ali Almoeed,en,yes,SRC002 p.109 line 37; SRC002 p.109 line 40; SRC002 p.109 line 44; SRC002 p.109 line 57
VAR_08123E36C4,ENT_AAA8A5A3D8,ali almoeed bin jafar abu turab,Syed Ali Almoeed bin Syed Jafar Abu Turab,en,yes,SRC002 p.109 line 46
VAR_02AB1F4C1F,ENT_A84951CDAE,ali almoeed bin jafar abu turab bin,Syed Ali Almoeed bin Syed Jafar Abu Turab bin Syed,en,yes,SRC002 p.109 line 37
VAR_282B81DD5B,ENT_B83FC83D8C,ali arab naqvi nishapuri,Hazrat Syed Ali Arab Naqvi Nishapuri,en,yes,SRC002 p.108 line 37
VAR_20E7A52324,ENT_F666017C7B,ali asghar,Syed Ali Asghar,en,yes,SRC002 p.107 line 6; SRC002 p.87 line 33; SRC002 p.87 line 34; SRC002 p.87 lines 6-18; SRC002 p.94 line 19
VAR_B287D502E3,ENT_7C33E8A2A7,ali asghar ashqar,Syed Ali Asghar/Ashqar,en,yes,SRC002 p.107 line 6
VAR_54CFA58E18,ENT_35BCF04E57,ali asghar ashqar r,Syed Ali Asghar Ashqar R,en,yes,SRC001 p.22 line 14
VAR_644CF9BE5C,ENT_9C5F9203A4,ali asghar naqvi al bukhari,Syed Ali Asghar Naqvi Al-Bukhari,en,yes,SRC001 p.23 line 26
VAR_676A970A41,ENT_F11707709C,ali husayni khamenei,Sayyid Ali Hussaini Khamenei,en,yes,SRC001 p.8 line 36
VAR_036CBEC286,ENT_AE5EF642A4,ali mukhtar,Syed Ali Mukhtar,en,yes,SRC002 p.107 line 37
VAR_DC9AB4DC29,ENT_F45B785864,ali naqvi,Syed Ali Naqvi,en,yes,SRC002 p.115 line 7; SRC002 p.46 line 7
VAR_63CBBF8305,ENT_A7AE7052F5,ali naqvi bukhari,Syed Ali Naqvi Bukhari,en,yes,SRC002 p.111 line 22
VAR_365AF92E01,ENT_94C43BD707,ali sarmast naqvi bukhari,Syed Ali Sarmast Naqvi Bukhari,en,yes,SRC002 p.109 line 59
VAR_670D9AEBCF,ENT_E022E802AA,ali sharfudin,Syed Ali Sharfudin,en,yes,SRC002 p.108 line 31
VAR_9A9AAFBDEA,ENT_E38C78CF17,ali sharfudin bin abu yusuf ahmed baghdadi bin,Syed Ali Sharfudin bin Syed Abu Yusuf Ahmed Baghdadi bin,en,yes,SRC002 p.108 line 31
VAR_613AD13CC2,ENT_CF5B211A40,ali uraydi,Ali Uraydi,en,yes,SRC002 p.105 line 53
VAR_7E3A6AB64D,ENT_DFD295CAE2,ali zainulabideen a s,Ali Zain al-Abideen A.S,en,yes,SRC002 p.104 line 46
VAR_DA32B2410B,ENT_44BB4BB350,ameer,Syed Ameer,en,yes,SRC001 p.26 line 17
VAR_4B3AE8B03C,ENT_0B0EF2EFC7,ameer ali,Syed Ameer Ali,en,yes,SRC002 p.47 line 14; SRC002 p.56 line 17; SRC002 p.68 line 23; SRC002 p.68 line 7; SRC002 p.90 line 37; SRC002 p.90 line 8; SRC002 p.98 line 15
VAR_33D04335EF,ENT_14FF1DF15F,ameer ali branch,Syed Ameer Ali Branch,en,yes,SRC002 p.90 line 36
VAR_42B2EE8BE4,ENT_D2CEA550C0,ameer ali naqvi,Syed Ameer Ali Naqvi,en,yes,SRC002 p.113 line 48; SRC002 p.114 line 31; SRC002 p.114 line 34; SRC002 p.114 line 36; SRC002 p.114 line 38; SRC002 p.46 line 36
VAR_44355D6044,ENT_B5CB0BB341,ameer ali naqvi bin umeed ali bin,Syed Ameer Ali Naqvi bin Syed Umeed Ali bin Syed,en,yes,SRC002 p.114 line 31
VAR_98342DDA49,ENT_DF4AA5FDBC,ameer ali r,Syed Ameer Ali R,en,yes,SRC001 p.21 line 36
VAR_D6D9703855,ENT_E507D4C91F,ameer ali shah,Hazrat Syed Ameer Ali Shah,en,yes,SRC001 p.32 line 8; SRC002 p.10 line 5; SRC002 p.11 line 14; SRC002 p.112 line 31; SRC002 p.112 line 37; SRC002 p.112 line 40; SRC002 p.112 line 42; SRC002 p.112 line 44
VAR_B8029BA386,ENT_E507D4C91F,ameer ali shah,Syed Ameer Ali Shah,en,no,SRC001 p.32 line 8; SRC002 p.10 line 5; SRC002 p.11 line 14; SRC002 p.112 line 31; SRC002 p.112 line 37; SRC002 p.112 line 40; SRC002 p.112 line 42; SRC002 p.112 line 44
VAR_AEE6773801,ENT_1D083BEAE7,ameer ali shah bin haider shah bin qutb,Syed Ameer Ali Shah bin Syed Haider Shah bin Syed Qutb,en,yes,SRC002 p.112 line 37
VAR_7103A8D4CD,ENT_33FE5B24D0,ameer ali shah ibn haider shah ibn qutb shah ibn kabir shah ibn,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn,en,yes,SRC002 p.87 line 6
VAR_9D6A415C91,ENT_B128EFD5FE,ameer ali shah mughal era figure,Syed Ameer Ali Shah Mughal Era Figure,en,yes,SRC002 p.95 line 24
VAR_7B7B1CED38,ENT_0BD2E16C3E,ameer ali shah naqvi al,Syed Ameer Ali Shah Naqvi al,en,yes,SRC001 p.3 line 11
VAR_5A7B3027CB,ENT_7BC4324C73,ameer ali shah naqvi bukhari,Sayyid Ameer Ali Shah Naqvi Bukhari,en,yes,SRC002 p.3 line 16; SRC002 p.7 line 31
VAR_90415028E8,ENT_7BC4324C73,ameer ali shah naqvi bukhari,Syed Ameer Ali Shah Naqvi Bukhari,en,no,SRC002 p.3 line 16; SRC002 p.7 line 31
VAR_B3E90895F3,ENT_A106770589,ameer ali shah r,Syed Ameer Ali Shah R,en,yes,SRC001 p.11 line 13; SRC001 p.12 line 20; SRC001 p.12 line 31; SRC001 p.13 line 12
VAR_0CBE695D52,ENT_1DD89E5367,amir,Amir,en,yes,SRC002 p.102 line 12
VAR_C2A4EE0B21,ENT_36C481EB54,amjad ali,Syed Amjad Ali,en,yes,SRC002 p.21 line 11; SRC002 p.23 line 27; SRC002 p.24 line 33; SRC002 p.26 line 11; SRC002 p.87 line 27; SRC002 p.96 line 15
VAR_A193819CEE,ENT_F955D6D2F0,amr,Amr,en,yes,SRC002 p.102 line 14
VAR_977F415FFC,ENT_947F807885,anmar,Anmar,en,yes,SRC002 p.100 line 45
VAR_699B8EE84D,ENT_7F881BD018,aqbar,Aqbar,en,yes,SRC002 p.99 line 30
VAR_E50F6885CD,ENT_78EC99D586,aqbar title ibrahim jabih ashmal,Aqbar (title: Ibrahim Jabih Ashmal),en,yes,SRC002 p.99 line 29
VAR_7AB7EC861C,ENT_EA888D548D,aqil,Aqil,en,yes,SRC002 p.104 line 10
VAR_7A3B0C1B1D,ENT_093180BE36,argha,Argha,en,yes,SRC002 p.100 line 19
VAR_9F210C9AEE,ENT_613C7F7C71,argha ruma title adwan,Argha (Ruma) (title: ‘Adwan),en,yes,SRC002 p.100 line 18
VAR_2B55B29CAB,ENT_00D7AAED4C,arphaxad,Arphaxad,en,yes,SRC002 p.99 line 14; SRC002 p.99 line 15
VAR_E7BED90789,ENT_8EFA565CA6,asad,Asad,en,yes,SRC002 p.101 line 26; SRC002 p.103 line 8
VAR_02C274CC1E,ENT_0EDE441C2D,asadah,Asadah,en,yes,SRC002 p.101 line 28
VAR_6A6ED0F534,ENT_3ADAA0C0BE,asghar rizvi,Syed Asghar Rizvi,en,yes,SRC002 p.49 line 11; SRC002 p.88 line 26
VAR_043CEDB196,ENT_CEE322E977,ashi,‘Ashi,en,yes,SRC002 p.99 line 31
VAR_31AB11C2A9,ENT_8EFC606F9F,ashi title afi aqbar ibn al jinn,‘Ashi (title: ‘Afi Aqbar ibn al-Jinn),en,yes,SRC002 p.99 line 30
VAR_BB50FDFBE5,ENT_915B13726B,ashiq ali,Syed Ashiq Ali,en,yes,SRC001 p.21 line 35; SRC002 p.112 line 47; SRC002 p.112 line 49; SRC002 p.112 line 51; SRC002 p.112 line 53; SRC002 p.96 line 3; SRC002 p.98 line 15
VAR_178D3BF6F9,ENT_0850930D6B,ashiq ali bin shakir ali bin ameer ali shah,Syed Ashiq Ali bin Syed Shakir Ali bin Syed Ameer Ali Shah,en,yes,SRC002 p.112 line 49
VAR_8FC2214ED0,ENT_8AD329A311,ashiq ali ibn shakir ali,Syed Ashiq Ali ibn Syed Shakir Ali,en,yes,SRC002 p.96 line 9
VAR_B9E0D72EAF,ENT_13AC9607F1,ashiq ali shah,Sayyid Ashiq Ali Shah,en,yes,SRC002 p.14 line 20; SRC002 p.15 line 5; SRC002 p.15 line 9; SRC002 p.16 line 25; SRC002 p.18 line 10; SRC002 p.2 line 12; SRC002 p.20 line 19; SRC002 p.20 line 5
VAR_274CE590C9,ENT_13AC9607F1,ashiq ali shah,Syed Ashiq Ali Shah,en,no,SRC002 p.14 line 20; SRC002 p.15 line 5; SRC002 p.15 line 9; SRC002 p.16 line 25; SRC002 p.18 line 10; SRC002 p.2 line 12; SRC002 p.20 line 19; SRC002 p.20 line 5
VAR_4126D36E8E,ENT_451AE49110,asim ali,Syed Asim Ali,en,yes,SRC002 p.113 line 20; SRC002 p.113 line 22; SRC002 p.113 line 24; SRC002 p.113 line 6; SRC002 p.49 line 22
VAR_97976AF7FD,ENT_4FFAC44818,asim ali bin qamar ali bin hafeez ali,Syed Asim Ali bin Syed Qamar Ali bin Syed Hafeez Ali,en,yes,SRC002 p.113 line 20
VAR_C09E30DC36,ENT_11F1476CFC,aun sajid ali naqvi al,Dr. Syed Aun Sajid Ali Naqvi Al,en,yes,SRC001 p.23 line 27
VAR_83E710AE18,ENT_A1290948A8,awad,‘Awad,en,yes,SRC002 p.100 line 7
VAR_4ED2AF08FF,ENT_10AAD1ADD9,awad title shimar mani,‘Awad (title: Shimar Mani),en,yes,SRC002 p.100 line 6
VAR_8B1CDCA696,ENT_743F66642F,awf,Awf,en,yes,SRC002 p.102 line 16
VAR_AEC160FC12,ENT_D4B19AE0EC,awf qureshi,Awf Qureshi,en,yes,SRC002 p.101 line 57
VAR_6ABB886A1E,ENT_F57D7931B8,ayatollah al,Ayatollah al,en,yes,SRC001 p.8 line 36
VAR_36EBDDE0B7,ENT_3C6F1BE51F,ayatullah sajid ali naqvi al bukhari,Hazrat Ayatullah Syed Sajid Ali Naqvi Al-Bukhari,en,yes,SRC001 p.23 line 25
VAR_953F5A00C0,ENT_9C4B6FF9CE,aydhani,‘Aydhani,en,yes,SRC002 p.100 line 18
VAR_2B1EC2A80A,ENT_2153CE593C,aydhani title mafir,‘Aydhani (title: Mafir),en,yes,SRC002 p.100 line 17
VAR_07CA6B5B49,ENT_0FDCF24B82,aylan qays aylan,Aylan (Qays Aylan),en,yes,SRC002 p.101 line 9
VAR_196D854BF8,ENT_722EC8A9CA,aymar,‘Aymar,en,yes,SRC002 p.100 line 16
VAR_44FED6DE15,ENT_6C2C21F0B6,aymar amir title nidwan dhu al amad,‘Aymar (Amir) (title: Nidwan Dhu al-Amad),en,yes,SRC002 p.100 line 15
VAR_CC45E0F801,ENT_334AC1E326,azam,‘Azam,en,yes,SRC002 p.100 line 6
VAR_C9BC0C6304,ENT_DBA988FE99,azam azam,‘Azam (Azam),en,yes,SRC002 p.100 line 5
VAR_E7811A91CB,ENT_1E3208BACD,badrudin shah,Syed Badrudin Shah,en,yes,SRC002 p.112 line 16
VAR_704FCA8086,ENT_9EC5DE3BFA,bahadur,Syed Bahadur,en,yes,SRC002 p.109 line 15
VAR_6F0929DFD1,ENT_5CDBEA2140,bahauddin masoom,Syed Bahauddin Masoom,en,yes,SRC002 p.109 line 52
VAR_B514465040,ENT_4F3E8E9AC2,baldas,Baldas,en,yes,SRC002 p.100 line 3
VAR_864C19D75E,ENT_30DE576CE6,baldas muhtal,Baldas (Muhtal),en,yes,SRC002 p.99 line 36
VAR_5839F13D36,ENT_C7C8CA4B54,basheer husayn,Shaheed Syed Basheer Hussain,en,yes,SRC001 p.27 line 32
VAR_E37691FC28,ENT_C7142460B4,bashirli,Bashirli,en,yes,SRC002 p.100 line 22; SRC002 p.99 line 25
VAR_CCB7FA674E,ENT_110F07804F,bashirli title bim al tab,Bashirli (title: Bim al-Tab‘),en,yes,SRC002 p.100 line 21; SRC002 p.99 line 24
VAR_0C85930AEE,ENT_8755C369F4,bibi fatima al,Bibi Fatima al,en,yes,SRC002 p.103 line 49
VAR_68E6212E2D,ENT_3D6E05F50E,bibi fatima zahra s,Bibi Fatima Zahra S,en,yes,SRC002 p.103 line 48
VAR_B2409475B4,ENT_2DA5E38CA0,bibi fatima zahra s a,Bibi Fatima Zahra S.A,en,yes,SRC002 p.103 line 48
VAR_5C1E1F66E8,ENT_E7F2BECF44,bibi pak daman,Bibi Pak Daman,en,yes,SRC001 p.7 line 30
