entity_id,preferred_english_title,suggested_urdu_title,canonical_key,language_group,occurrence_count,variant_count,relationship_edge_count,parent_names,child_names,main_path_order,source_ids,source_pages,source_refs_sample,known_or_suggested_wikidata_qid,notability_score_0_100,deletion_risk_score_0_100,page_class,simplewiki_recommendation,urduwiki_recommendation,wikidata_recommendation,duplicate_risk_flag,suspect_entity_reason,privacy_review_required,suggested_categories_en,suggested_categories_ur,draft_context_summary,all_variants_pipe
ENT_802CAAE044,Imam Ali Naqi AS,Imam Ali Naqi AS,imam ali naqi,en,9,2,2,Imam Muhammad Taqi,Syed Jafar Sani,11,SRC002,SRC002 p.39; SRC002 p.80; SRC002 p.85; SRC002 p.87,SRC002 p.39 line 22; SRC002 p.80 line 19; SRC002 p.80 line 26; SRC002 p.85 line 10; SRC002 p.87 line 35; SRC002 p.87 line 36; SRC002 p.87 lines 6-18,Q211518,87,13,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Shia Imams | Ahl al-Bayt,ائمہ اہل بیت | اہل بیت,Recorded parent(s): Imam Muhammad Taqi | Recorded child/children: Syed Jafar Sani | Main lineage path order: 11 | Context: → Ja‘far Sani (descendant of Imam Ali Naqi),Imam Ali Naqi | Imam Ali Naqi AS
ENT_F2D3F09150,Hazrat Abdullah,Hazrat Abdullah,abdullah,en,20,3,10,Syed Ali Asghar | Abdul Muttalib (Shaybah) | Abdul Muttalib | Imam Ali | Imam Zain ul Abideen | Imam Musa Kazim | Syed Jafar Sani | Syed Mehmood Asghar Bukhari,Syed Ahmed Shah | Prophet Muhammad ( ),14,SRC002,SRC002 p.103; SRC002 p.104; SRC002 p.105; SRC002 p.106; SRC002 p.107; SRC002 p.108; SRC002 p.109; SRC002 p.87; SRC002 p.94,SRC002 p.103 line 15; SRC002 p.103 line 35; SRC002 p.103 line 38; SRC002 p.103 line 39; SRC002 p.103 line 50; SRC002 p.104 line 28; SRC002 p.105 line 10; SRC002 p.106 line 24; SRC002 p.107 line 18; SRC002 p.108 line 40; SRC002 p.109 line 13; SRC002 p.87 line 32; SRC002 p.87 line 33; SRC002 p.87 lines 6-18; SRC002 p.94 line 19,,83,17,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",,,no,Genealogy | Islamic history,علم الانساب | اسلامی تاریخ,"Recorded parent(s): Syed Ali Asghar, Abdul Muttalib (Shaybah), Abdul Muttalib, Imam Ali, Imam Zain ul Abideen | Recorded child/children: Syed Ahmed Shah, Prophet Muhammad ( ) | Main lineage path order: 14 | Context: Syed Ja‘far Sani → Syed Ali Asghar → Syed Abdullah → Syed Ahmad Shah → Syed",Syed Abdullah | Hazrat Abdullah | Abdullah
ENT_62203E42CE,Sayyid Mahmud,Sayyid Mahmud,mahmood,en,9,3,3,Syed Ahmed Shah | Syed Muhammad Abul Fatah,Syed Muhammad Bukhari,16,SRC002,SRC002 p.108; SRC002 p.109; SRC002 p.7; SRC002 p.87,SRC002 p.108 line 35; SRC002 p.109 line 24; SRC002 p.7 line 12; SRC002 p.87 line 30; SRC002 p.87 line 31; SRC002 p.87 lines 6-18,,77,23,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",,,no,Sayyids | Naqvi Bukhari Sadat,سادات | سادات نقوی بخاری,"Recorded parent(s): Syed Ahmed Shah, Syed Muhammad Abul Fatah | Recorded child/children: Syed Muhammad Bukhari | Main lineage path order: 16 | Context: 1.1.1.1 Syed Mehmood",Syed Mehmood | Sayyid Mahmud | Syed Mahmood
ENT_5880BB84DA,Hazrat Syed Muhammad,Hazrat Syed Muhammad,muhammad,en,9,3,3,Imam Muhammad Taqi al-Jawad | Syed Jafar Sani | Syed Abu Yusuf Ahmed Baghdadi,,,SRC001 | SRC002,SRC001 p.22; SRC001 p.32; SRC002 p.106; SRC002 p.107; SRC002 p.108,SRC001 p.22 line 12; SRC001 p.32 line 6; SRC002 p.106 line 48; SRC002 p.107 line 16; SRC002 p.108 line 24,Q9458,76,24,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Sayyids | Naqvi Bukhari Sadat,سادات | سادات نقوی بخاری,"Recorded parent(s): Imam Muhammad Taqi al-Jawad, Syed Jafar Sani, Syed Abu Yusuf Ahmed Baghdadi | Context: Bukhari R.A bin Syed Ali Al-Moeed R.A bin Syed Jafar R.A bin Syed Muhammad",Syed Muhammad | Hazrat Syed Muhammad | Muhammad
ENT_E507D4C91F,Hazrat Syed Ameer Ali Shah,Hazrat Syed Ameer Ali Shah,ameer ali shah,en,19,2,6,Syed Haider Shah,Syed Shakir Ali | Syed Zakir Ali,41,SRC001 | SRC002,SRC001 p.32; SRC002 p.10; SRC002 p.11; SRC002 p.112; SRC002 p.2; SRC002 p.79; SRC002 p.81; SRC002 p.87,SRC001 p.32 line 8; SRC002 p.10 line 5; SRC002 p.11 line 14; SRC002 p.112 line 31; SRC002 p.112 line 37; SRC002 p.112 line 40; SRC002 p.112 line 42; SRC002 p.112 line 44; SRC002 p.2 line 10; SRC002 p.79 line 12; SRC002 p.81 line 4; SRC002 p.87 line 20; SRC002 p.87 line 6; SRC002 p.87 lines 6-18,,75,25,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Sayyids | Naqvi Bukhari Sadat | Sufi saints of South Asia,سادات | سادات نقوی بخاری | برصغیر کے صوفیاء,"Recorded parent(s): Syed Haider Shah | Recorded child/children: Syed Shakir Ali, Syed Zakir Ali | Main lineage path order: 41 | Context: The lineage of Hazrat Syed Ameer Ali Shah (R.A)",Syed Ameer Ali Shah | Hazrat Syed Ameer Ali Shah
ENT_D09CF34D44,Syed Jafar Sani,Syed Jafar Sani,jafar sani,en,16,1,13,Imam Ali Naqi | Imam Ali Naqi al-Hadi,Syed Ali Asghar | Syed Ali Asghar/Ashqar | Syed Ali Akbar | Syed Hasan | Syed Hussain | Syed Ahmad | Syed Muhammad | Syed Abdullah | Syed Ibrahim | Syed Ismail,12,SRC002,SRC002 p.107; SRC002 p.87,SRC002 p.107 line 10; SRC002 p.107 line 12; SRC002 p.107 line 14; SRC002 p.107 line 16; SRC002 p.107 line 18; SRC002 p.107 line 20; SRC002 p.107 line 22; SRC002 p.107 line 3; SRC002 p.107 line 32; SRC002 p.107 line 53; SRC002 p.107 line 6; SRC002 p.107 line 8; SRC002 p.87 line 34; SRC002 p.87 line 35; SRC002 p.87 lines 6-18,,75,25,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",,,no,Sayyids | Naqvi Bukhari Sadat,سادات | سادات نقوی بخاری,"Recorded parent(s): Imam Ali Naqi, Imam Ali Naqi al-Hadi | Recorded child/children: Syed Ali Asghar, Syed Ali Asghar/Ashqar, Syed Ali Akbar, Syed Hasan, Syed Hussain | Main lineage path order: 12 | Context: Asghar bin Syed Jafar Sani",Syed Jafar Sani
ENT_55369DBCA1,Syed Yar Shah Haider,Syed Yar Shah Haider,yar shah haider,en,14,1,8,Syed Shah Nizam,Syed Jahangir Shah | Syed Nabi Shah | Syed Kabeer Shah,34,SRC002,SRC002 p.11; SRC002 p.111; SRC002 p.87; SRC002 p.95; SRC002 p.98,SRC002 p.11 line 21; SRC002 p.111 line 38; SRC002 p.111 line 40; SRC002 p.111 line 43; SRC002 p.111 line 45; SRC002 p.111 line 47; SRC002 p.111 line 49; SRC002 p.87 line 12; SRC002 p.87 line 13; SRC002 p.87 lines 6-18; SRC002 p.95 line 21; SRC002 p.98 line 17,,74,26,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",,,no,Sayyids | Naqvi Bukhari Sadat | Sufi saints of South Asia,سادات | سادات نقوی بخاری | برصغیر کے صوفیاء,"Recorded parent(s): Syed Shah Nizam | Recorded child/children: Syed Jahangir Shah, Syed Nabi Shah, Syed Kabeer Shah | Main lineage path order: 34 | Context: → son of Syed Yar Shah Haider (RA)",Syed Yar Shah Haider
ENT_6AA1AAC2B4,Hazrat Syed Jalaluddin Surkh Posh Bukhari,Hazrat Syed Jalaluddin Surkh Posh Bukhari,jalaluddin surkh posh bukhari,en,10,2,1,,Syed Ahmed Kabir,,SRC001 | SRC002,SRC001 p.24; SRC001 p.25; SRC002 p.109; SRC002 p.110; SRC002 p.83; SRC002 p.94,SRC001 p.24 line 6; SRC001 p.25 line 7; SRC002 p.109 line 56; SRC002 p.110 line 10; SRC002 p.83 line 29; SRC002 p.83 line 3; SRC002 p.94 line 21; SRC002 p.94 line 23,Q6120498,74,26,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Sayyids | Naqvi Bukhari Sadat | Sufi saints of South Asia,سادات | سادات نقوی بخاری | برصغیر کے صوفیاء,Recorded child/children: Syed Ahmed Kabir | Context: Syed Jalaluddin Surkh Posh Bukhari (R.A).,Syed Jalaluddin Surkh Posh Bukhari | Hazrat Syed Jalaluddin Surkh Posh Bukhari
ENT_174A3B739A,Imam Zain ul Abideen,Imam Zain ul Abideen,imam zainulabideen,en,14,1,12,Imam Hussain,Imam Muhammad Baqir | Imam Muhammad al-Baqir | Imam Zayd | Abdullah | Umar | Hasan | Hussain | Abdur Rahman | Suleiman,5,SRC002,SRC002 p.105; SRC002 p.87,SRC002 p.105 line 10; SRC002 p.105 line 12; SRC002 p.105 line 14; SRC002 p.105 line 16; SRC002 p.105 line 18; SRC002 p.105 line 20; SRC002 p.105 line 22; SRC002 p.105 line 3; SRC002 p.105 line 30; SRC002 p.105 line 6; SRC002 p.105 line 8; SRC002 p.87 line 41; SRC002 p.87 line 42; SRC002 p.87 lines 6-18,,72,28,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",duplicate_risk,,no,Shia Imams | Ahl al-Bayt,ائمہ اہل بیت | اہل بیت,"Recorded parent(s): Imam Hussain | Recorded child/children: Imam Muhammad Baqir, Imam Muhammad al-Baqir, Imam Zayd, Abdullah, Umar | Main lineage path order: 5 | Context: Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed",Imam Zain ul Abideen
ENT_DBE2D50B45,Sayyid Qutb Kamal,Sayyid Qutb Kamal,qutb kamal,en,7,2,2,Syed Ali al-Muayyad,Syed Jalal ud Din Surkh Posh Bukhari,20,SRC002,SRC002 p.7; SRC002 p.87; SRC002 p.94,SRC002 p.7 line 16; SRC002 p.87 line 26; SRC002 p.87 line 27; SRC002 p.87 lines 6-18; SRC002 p.94 line 21,,72,28,PAGE_READY_REVIEW,Possible draft candidate after human checking of independent notability and source reliability,Possible draft candidate after human checking of independent notability and source reliability,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",,,no,Sayyids | Naqvi Bukhari Sadat,سادات | سادات نقوی بخاری,Recorded parent(s): Syed Ali al-Muayyad | Recorded child/children: Syed Jalal ud Din Surkh Posh Bukhari | Main lineage path order: 20 | Context: → Sayyid Qutb Kamal,Sayyid Qutb Kamal | Syed Qutb Kamal
ENT_9428DC12B3,"Hazrat Sultan-ul-Aarifeen, Qutb-ul-Kamal, Wali-e-Kamil, Waris-e-Masoomeen a.s, Sher-e-Shah Makhdoom Syed Jalaluddin Haider Surkh-Posh Bukhari","Hazrat Sultan-ul-Aarifeen, Qutb-ul-Kamal, Wali-e-Kamil, Waris-e-Masoomeen a.s, Sher-e-Shah Makhdoom Syed Jalaluddin Haider Surkh-Posh Bukhari",qutb ul kamal a s makhdoom jalaluddin haider surkh posh bukhari,en,5,1,5,Syed Ali Almoeed,Syed Jafar Naqvi Bukhari | Syed Sultan Ahmed Kabir Naqvi Bukhari | Syed Bahauddin Masoom | Syed Sadrudin Muhammad Ghaus,,SRC002,SRC002 p.109,SRC002 p.109 line 44; SRC002 p.109 line 48; SRC002 p.109 line 50; SRC002 p.109 line 52; SRC002 p.109 line 54,Q6120498,70,30,DRAFTSPACE_ONLY,Draftspace only; do not move to mainspace before adding stronger independent sources,Draftspace only; do not move to mainspace before adding stronger independent sources,"Possible after duplicate/QID review; add only sourced, minimal, non-private claims",,,no,Sayyids | Naqvi Bukhari Sadat | Sufi saints of South Asia,سادات | سادات نقوی بخاری | برصغیر کے صوفیاء,"Recorded parent(s): Syed Ali Almoeed | Recorded child/children: Syed Jafar Naqvi Bukhari, Syed Sultan Ahmed Kabir Naqvi Bukhari, Syed Bahauddin Masoom, Syed Sadrudin Muhammad Ghaus | Context: Descendants of Hazrat Sultan-ul-Aarifeen, Qutb-ul-Kamal, Wali-e-Kamil, Waris-e-Masoomeen a.s, Sher-e-Shah Makhdoom Syed Jalaluddin Haider Surkh-Posh Bukhari (R.A) bin Syed Ali Almoeed bin Syed Jafar Abu Turab","Hazrat Sultan-ul-Aarifeen, Qutb-ul-Kamal, Wali-e-Kamil, Waris-e-Masoomeen a.s, Sher-e-Shah Makhdoom Syed Jalaluddin Haider Surkh-Posh Bukhari"
